Time;Huge;GPU;Large;Medium;Short;isStart;ID
640291;120;1;36;10;0;1;141
640410;120;1;36;10;2;0;105
640419;120;1;36;11;2;0;142
640519;120;1;36;11;1;1;143
640774;120;1;36;11;2;0;110
641271;120;1;36;12;2;0;137
641350;120;1;36;14;2;0;139
641412;120;1;36;15;2;0;112
641462;120;1;36;16;2;0;108
641621;120;1;36;16;3;0;132
641741;120;1;36;17;3;0;109
641812;120;1;36;18;3;0;104
641813;120;1;36;0;3;1;119
642118;120;1;36;1;3;0;113
642119;120;1;36;0;3;1;121
642415;120;1;36;0;5;0;128
642426;120;1;36;0;7;0;134
642513;120;1;36;0;8;0;143
642724;120;1;36;0;9;0;133
642885;120;1;36;0;10;0;129
643166;120;1;36;1;10;0;117
643167;120;1;36;0;10;1;135
643412;120;1;36;0;12;0;141
646761;120;1;36;1;12;0;121
647218;120;2;36;1;12;0;120
648338;120;2;36;2;12;0;135
649331;120;2;36;22;12;0;106
649332;120;2;36;0;12;1;114
654834;120;8;36;0;12;0;111
654835;120;5;36;0;12;1;126
654836;120;1;36;0;12;1;138
655238;120;1;36;18;12;0;119
655239;120;1;36;16;12;1;131
655240;120;1;36;15;12;1;144
659080;120;1;36;16;12;0;144
659608;120;1;36;16;10;1;146
661397;120;1;36;18;10;0;131
662686;120;1;36;18;12;0;146
662796;120;5;36;18;12;0;138
670707;120;5;36;18;11;1;148
673894;120;5;36;18;12;0;148
676080;120;5;36;40;12;0;114
676081;120;5;36;20;12;1;115
676082;120;5;36;1;12;1;140
676618;120;8;36;1;12;0;126
685891;120;8;36;20;12;0;140
687297;120;8;36;40;12;0;115
687298;120;8;36;18;12;1;123
687748;120;8;60;18;12;0;136
689361;120;8;60;18;11;1;150
692121;120;8;60;18;12;0;150
698056;120;8;60;40;12;0;123
698057;120;8;60;17;12;1;145
714378;120;8;60;40;12;0;145
714379;120;8;60;19;12;1;147
727911;120;8;60;19;11;1;152
727942;120;8;60;40;11;0;147
727943;120;8;60;20;11;1;149
728962;120;8;60;20;12;0;152
733726;120;8;60;19;12;1;153
738399;120;8;60;20;12;0;153
745572;120;8;60;40;12;0;149
745573;120;8;60;19;12;1;151
758851;120;8;60;40;12;0;151
787648;120;8;60;40;11;1;154
788670;120;8;60;40;12;0;154
803276;120;8;60;39;12;1;155
807055;120;8;60;40;12;0;155
816183;120;8;60;23;12;1;156
841027;120;8;60;40;12;0;156
852366;120;8;60;40;11;1;157
855179;120;8;60;40;12;0;157
863798;120;8;60;17;12;1;158
877936;120;8;60;17;11;1;159
879818;120;8;60;17;12;0;159
884459;120;8;60;40;12;0;158
902875;120;8;60;39;12;1;160
906762;120;8;60;40;12;0;160
932553;120;8;60;40;11;1;161
934745;120;8;60;40;12;0;161
945211;120;8;60;40;11;1;162
947610;120;8;60;40;12;0;162
960750;120;6;60;40;12;1;163
973699;120;8;60;40;12;0;163
1004779;120;8;33;40;12;1;164
1013720;120;8;33;40;11;1;165
1016906;120;8;33;40;12;0;165
1020466;120;8;33;40;11;1;166
1023224;120;8;33;40;12;0;166
1039457;120;8;60;40;12;0;164
1274400;120;8;60;40;11;1;167
1274401;120;8;60;23;11;1;168
1274402;120;8;60;23;10;1;169
1274403;120;8;60;22;10;1;170
1274404;120;8;60;21;10;1;171
1274405;120;8;38;21;10;1;173
1274406;120;8;38;21;8;1;175
1276407;120;8;38;21;9;0;169
1276902;120;8;38;21;11;0;175
1277480;120;8;38;21;12;0;167
1278060;120;8;38;22;12;0;171
1278061;120;8;38;0;12;1;172
1278232;120;8;38;1;12;0;170
1278233;120;8;38;0;12;1;174
1282325;120;8;38;1;12;0;174
1300077;120;8;38;23;12;0;172
1301589;120;8;38;40;12;0;168
1311781;120;8;60;40;12;0;173
1311891;120;8;60;40;11;1;176
1314547;120;8;60;40;12;0;176
1350041;120;8;60;40;11;1;177
1353117;120;8;60;40;12;0;177
1384283;120;8;60;39;12;1;178
1388030;120;8;60;40;12;0;178
1390162;120;8;60;39;12;1;179
1394036;120;8;60;40;12;0;179
1411723;120;8;60;23;12;1;180
1415386;120;3;60;23;12;1;181
1422051;120;8;60;23;12;0;181
1430681;120;8;60;40;12;0;180
1433043;120;3;60;40;12;1;182
1440647;120;8;60;40;12;0;182
1533551;120;7;60;40;12;1;183
1547210;120;8;60;40;12;0;183
1578577;120;8;60;40;11;1;184
1582069;120;8;60;40;12;0;184
1681200;38;8;60;40;12;1;89
1869672;120;8;60;40;12;0;89
1911600;120;8;60;39;12;1;185
1911601;120;5;60;39;12;1;186
1911602;120;5;60;38;12;1;187
1911603;120;0;60;38;12;1;188
1911604;120;0;22;38;12;1;189
1911605;120;0;22;38;11;1;190
1915077;120;0;22;38;12;0;190
1915487;120;0;22;39;12;0;187
1915901;120;0;22;40;12;0;185
1920242;120;3;22;40;12;0;186
1933069;120;8;22;40;12;0;188
1933070;120;2;22;40;12;1;191
1950820;120;8;22;40;12;0;191
1959347;120;8;60;40;12;0;189
2013029;120;8;60;39;12;1;192
2017326;120;8;60;40;12;0;192
2376858;120;8;60;40;11;1;193
2378745;120;8;60;40;12;0;193
2379703;120;8;60;40;11;1;194
2382129;120;8;60;40;12;0;194
2402503;120;8;60;39;12;1;195
2407312;120;8;60;40;12;0;195
2424221;120;8;60;40;11;1;196
2426964;120;8;60;40;12;0;196
2746846;120;8;60;19;12;1;197
2758497;120;8;60;40;12;0;197
2760684;120;8;60;40;10;1;198
2763786;120;8;60;40;12;0;198
2799344;120;8;60;40;11;1;199
2801245;120;8;60;40;12;0;199
